country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,70111,2899.0,57119,10093,1124.0,1765,73.0,462860.0,11654.0,39717807
Albania,Europe,132285,2448.0,129097,740,18.0,46013,851.0,710160.0,247017.0,2874947
Algeria,Africa,128198,3455.0,89232,35511,26.0,2877,78.0,230861.0,5180.0,44565141
Andorra,Europe,13693,127.0,13416,150,12.0,176965,1641.0,193595.0,2501971.0,77377
Angola,Africa,33944,749.0,27577,5618,19.0,1005,22.0,569993.0,16872.0,33784208
Anguilla,North America,109,,109,0,,7207,,22201.0,1467932.0,15124
Antigua And Barbuda,North America,1259,42.0,1206,11,,12761,426.0,16700.0,169265.0,98662
Argentina,South America,3702422,76693.0,3252843,372886,6872.0,81245,1683.0,13682632.0,300250.0,45570832
Armenia,Asia,222555,4428.0,212752,5375,,74978,1492.0,1078534.0,363355.0,2968262
Aruba,North America,10969,107.0,10790,72,14.0,102345,998.0,164095.0,1531065.0,107177
Australia,Australia/Oceania,30083,910.0,29066,107,1.0,1167,35.0,18239102.0,707840.0,25767255
Austria,Europe,643709,10588.0,626815,6306,175.0,71105,1170.0,40789126.0,4505633.0,9052918
Azerbaijan,Asia,333559,4896.0,323198,5465,,32632,479.0,3496635.0,342075.0,10221829
Bahamas,North America,11684,229.0,10503,952,8.0,29457,577.0,96400.0,243040.0,396642
Bahrain,Asia,232425,923.0,203429,28073,258.0,132465,526.0,4589012.0,2615398.0,1754613
Bangladesh,Asia,796343,12511.0,736221,47611,1109.0,4792,75.0,5901874.0,35516.0,166172855
Barbados,North America,4009,47.0,3922,40,,13935,163.0,168904.0,587096.0,287694
Belarus,Europe,391637,2821.0,382167,6649,,41458,299.0,6286097.0,665442.0,9446505
Belgium,Europe,1057903,24910.0,951215,81778,491.0,90922,2141.0,13852116.0,1190525.0,11635300
Belize,North America,12791,324.0,12378,89,2.0,31650,802.0,132451.0,327738.0,404137
Benin,Africa,8058,101.0,7893,64,5.0,649,8.0,604310.0,48700.0,12408783
Bermuda,North America,2491,32.0,2423,36,7.0,40133,516.0,267584.0,4311073.0,62069
Bhutan,Asia,1503,1.0,1241,261,,1929,1.0,798573.0,1024748.0,779287
Bolivia,South America,364570,14377.0,289809,60384,200.0,30852,1217.0,1452303.0,122901.0,11816823
Bosnia And Herzegovina,Europe,203839,9211.0,174236,20392,,62483,2823.0,972590.0,298131.0,3262289
Botswana,Africa,53771,831.0,50494,2446,1.0,22457,347.0,1143453.0,477550.0,2394417
Brazil,South America,16392657,459171.0,14811266,1122220,8318.0,76627,2146.0,49076549.0,229408.0,213926682
British Virgin Islands,North America,248,1.0,209,38,,8154,33.0,39777.0,1307895.0,30413
Brunei Darussalam,Asia,241,3.0,228,10,,546,7.0,126634.0,286978.0,441267
Bulgaria,Europe,418106,17652.0,380254,20200,367.0,60587,2558.0,2808798.0,407017.0,6900936
Burkina Faso,Africa,13424,166.0,13248,10,,627,8.0,187240.0,8742.0,21418561
Burundi,Africa,4669,6.0,773,3890,,382,,309390.0,25341.0,12208897
Cabo Verde,Africa,30122,261.0,28163,1698,23.0,53651,465.0,160181.0,285301.0,561445
Cambodia,Asia,28825,203.0,21315,7307,,1703,12.0,1148564.0,67850.0,16927916
Cameroon,Africa,77982,1270.0,72926,3786,385.0,2873,47.0,1644460.0,60591.0,27140414
Canada,North America,1374275,25440.0,1308932,39903,1122.0,36126,669.0,34550157.0,908224.0,38041454
Caribbean Netherlands,North America,1612,17.0,1579,16,,60961,643.0,8550.0,323337.0,26443
Cayman Islands,North America,581,2.0,564,15,,8747,30.0,96845.0,1458092.0,66419
Central African Republic,Africa,7085,98.0,6665,322,2.0,1444,20.0,54522.0,11114.0,4905513
Chad,Africa,4927,173.0,4742,12,,292,10.0,119517.0,7093.0,16849408
Channel Islands,Europe,4065,86.0,3956,23,,23187,491.0,454413.0,2592025.0,175312
Chile,South America,1361381,28928.0,1287804,44649,3067.0,70667,1502.0,14601545.0,757946.0,19264623
China Hong Kong Sar,Asia,11837,210.0,11565,62,1.0,1567,28.0,16710131.0,2212675.0,7552003
China Macao Sar,Asia,51,,49,2,,78,,4483.0,6820.0,657329
China,Asia,91061,4636.0,86107,318,4.0,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,3342567,87207.0,3121888,133472,6582.0,65064,1698.0,16792539.0,326874.0,51373140
Comoros,Africa,3879,146.0,3716,17,,4377,165.0,,,886288
Congo,Africa,11658,153.0,8208,3297,,2067,27.0,141948.0,25167.0,5640306
Costa Rica,North America,314102,3962.0,242019,68121,527.0,61155,771.0,1193313.0,232334.0,5136186
Cote D Ivoire,Africa,47195,301.0,46591,303,,1750,11.0,639197.0,23704.0,26966026
Croatia,Europe,355617,7992.0,344899,2726,95.0,87112,1958.0,1999818.0,489878.0,4082280
Cuba,North America,138899,933.0,131461,6505,132.0,12270,82.0,4260156.0,376327.0,11320347
Curacao,North America,12271,122.0,12104,45,12.0,74505,741.0,108037.0,655958.0,164701
Cyprus,Asia,72307,360.0,68409,3538,31.0,59497,296.0,6528854.0,5372163.0,1215312
Czech Republic,Europe,1660935,30101.0,1617498,13336,110.0,154837,2806.0,24208303.0,2256767.0,10726985
Democratic Republic Of The Congo,Africa,31386,782.0,27654,2950,,341,8.0,159469.0,1733.0,92006716
Denmark,Europe,278396,2512.0,262748,13136,22.0,47911,432.0,54031318.0,9298625.0,5810678
Djibouti,Africa,11523,153.0,11354,16,,11512,153.0,157734.0,157581.0,1000972
Dominica,North America,188,,182,6,,2606,,16662.0,230942.0,72148
